nome;codigo_barras;categoria;preco;estoque;estoque_minimo;tipo;unidade
ACETATO DE MEDROXIPROGESTERONA 150MG;7891268101782;ANTICONCEPÇÃO;1,00;10;1;unidade;un
ACETATO DE MEDROXIPROGESTERONA 150MG;7891268101799;ANTICONCEPÇÃO;1,00;10;1;unidade;un
ACETATO DE MEDROXIPROGESTERONA 150MG;7894916502900;ANTICONCEPÇÃO;1,00;10;1;unidade;un
ACETATO DE MEDROXIPROGESTERONA 150MG;7894916507004;ANTICONCEPÇÃO;1,00;10;1;unidade;un
ACETATO DE MEDROXIPROGESTERONA 150MG;7894916512589;ANTICONCEPÇÃO;1,00;10;1;unidade;un
ACETATO DE MEDROXIPROGESTERONA 150MG;7896006205395;ANTICONCEPÇÃO;1,00;10;1;unidade;un
ACETATO DE MEDROXIPROGESTERONA 150MG;7896006206781;ANTICONCEPÇÃO;1,00;10;1;unidade;un
ACETATO DE MEDROXIPROGESTERONA 150MG;7896006259657;ANTICONCEPÇÃO;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7891317001476;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7893454100012;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7893454101644;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7893454213118;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7894916143424;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7894916501729;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7894916510127;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7895296420020;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7896004715308;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7896004715322;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7896004715353;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7896004726847;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7896006216476;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7896112162322;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7896112163015;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7896181920038;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7896523227252;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7896658022760;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7896714231204;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7897595610089;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7897595637574;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7898040320621;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7898075317894;OSTEOPOROSE;1,00;10;1;unidade;un
ALENDRONATO DE SÓDIO 70MG;7898109241522;OSTEOPOROSE;1,00;10;1;unidade;un
ATENOLOL 25MG;7894916144209;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7895296299022;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7896004705781;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7896004705880;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7896004709024;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7896112401452;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7896181900122;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7896181901723;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7896181916222;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7896241221853;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7896422506342;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7896472513130;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7896472513338;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7896472519774;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7896472519828;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7896523212920;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7896714262031;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7897595602572;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7897595605412;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7898049792979;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7898075314954;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7898148290772;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7898700412253;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7899095201866;HIPERTENSÃO;1,00;10;1;unidade;un
ATENOLOL 25MG;7899095245815;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7891721012969;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7891721277429;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7891721277436;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7894916190022;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7894916340748;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7894916340755;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7895296415019;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896004703305;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896004766362;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896004766379;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896112117681;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896112149460;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896112190134;HIPERTENSÃO;1,00;10;1;unidade;un
BESILATO DE ANLODIPINO 5 MG;7896112196532;HIPERTENSÃO;1,00;10;1;unidade;un
